season,estimate,LI,LS,estimate.prob,LI.prob,LS.prob
2022-2023,1503191,1089589.0250000001,3801605.124999998,1003663,611283.9,6173915.849999998
2023-2024,1710448.5,1225859.375,4302009.574999996,1075471.5,657512.2000000001,5406590.27499996
2024-2025,2385809.5,1595036.95,7009191.6999999825,1527015,859939.9,7777609.874999988
